zip5,lat,lon,city_label,geocoded_at,source
98664,45.61951,-122.577179,98664,2026-04-17T08:56:33.225085,zcta
97103,46.13334,-123.698966,97103,2026-04-17T08:56:33.225086,zcta
87106,35.007139,-106.60982,87106,2026-04-17T08:56:33.225088,zcta
97302,44.903176,-123.064432,97302,2026-04-17T08:56:33.225089,zcta
97225,45.503048,-122.770132,97225,2026-04-17T08:56:33.225090,zcta
99223,47.597087,-117.317796,99223,2026-04-17T08:56:33.225091,zcta
97210,45.545484,-122.736853,97210,2026-04-17T08:56:33.225092,zcta
59715,45.693722,-110.906093,59715,2026-04-17T08:56:33.225095,zcta
97209,45.531124,-122.683951,97209,2026-04-17T08:56:33.225097,zcta
92835,33.900573,-117.914667,92835,2026-04-17T08:56:33.225098,zcta
98664,45.61951,-122.577179,98664,2026-04-17T08:56:33.225099,zcta
94704,37.866417,-122.260922,94704,2026-04-17T08:56:33.225101,zcta
89521,39.371633,-119.675912,89521,2026-04-17T08:56:33.225102,zcta
97239,45.489938,-122.690453,97239,2026-04-17T08:56:33.225103,zcta
32086,29.740948,-81.30016,32086,2026-04-17T08:56:33.225105,zcta
95926,39.74577,-121.843938,95926,2026-04-17T08:56:33.225106,zcta
